START report: Mon Dec  5 20:58:33 2022 
** Error: (eldo - 1577)  In file "/afs/cad.njit.edu/u/p/d/pd433/github/SkippingCarry/schematics/sum/eldonet/sum_eldonet.spi" line 26:
+   OBJECT "MP4": Model P not yet defined.
** Error: (eldo - 1577)  In file "/afs/cad.njit.edu/u/p/d/pd433/github/SkippingCarry/schematics/sum/eldonet/sum_eldonet.spi" line 27:
+   OBJECT "MP3": Model P not yet defined.
** Error: (eldo - 1577)  In file "/afs/cad.njit.edu/u/p/d/pd433/github/SkippingCarry/schematics/sum/eldonet/sum_eldonet.spi" line 27:
+   OBJECT "MP3": Model P not yet defined.
** Error: (eldo - 1577)  In file "/afs/cad.njit.edu/u/p/d/pd433/github/SkippingCarry/schematics/sum/eldonet/sum_eldonet.spi" line 28:
+   OBJECT "MP2": Model P not yet defined.
** Error: (eldo - 1577)  In file "/afs/cad.njit.edu/u/p/d/pd433/github/SkippingCarry/schematics/sum/eldonet/sum_eldonet.spi" line 28:
+   OBJECT "MP2": Model P not yet defined.
** Error: (eldo - 1577)  In file "/afs/cad.njit.edu/u/p/d/pd433/github/SkippingCarry/schematics/sum/eldonet/sum_eldonet.spi" line 29:
+   OBJECT "MN1": Model N not yet defined.
** Error: (eldo - 1577)  In file "/afs/cad.njit.edu/u/p/d/pd433/github/SkippingCarry/schematics/sum/eldonet/sum_eldonet.spi" line 29:
+   OBJECT "MN1": Model N not yet defined.
** Error: (eldo - 1577)  In file "/afs/cad.njit.edu/u/p/d/pd433/github/SkippingCarry/schematics/sum/eldonet/sum_eldonet.spi" line 30:
+   OBJECT "MP1": Model P not yet defined.
** Error: (eldo - 1577)  In file "/afs/cad.njit.edu/u/p/d/pd433/github/SkippingCarry/schematics/sum/eldonet/sum_eldonet.spi" line 30:
+   OBJECT "MP1": Model P not yet defined.
